;Framework;Dataset;Input size;Batch size;Mode;Device;Time_mean;Time_min;Time_std;Memory
0;pytorch2;bank;(32, 155, 2);32;train;cpu;15.34814715385437;15.34814715385437;0.0;34.64920634920636
1;pytorch2;bank;(32, 155, 2);32;train;cpu;11.780333042144775;11.780333042144775;0.0;38.730158730158735
2;pytorch2;bank;(32, 155, 2);32;train;cpu;12.58026385307312;12.58026385307312;0.0;37.052380952380965
3;pytorch2;bank;(32, 155, 2);32;train;cpu;10.306013822555542;10.306013822555542;0.0;29.72539682539683
4;pytorch2;bank;(32, 155, 2);32;train;cpu;10.217407941818236;10.217407941818236;0.0;31.37619047619048
5;pytorch2;bank;(32, 155, 2);32;train;cpu;9.586299180984495;9.586299180984495;0.0;42.29206349206348
6;pytorch2;bank;(32, 155, 2);32;train;cpu;9.909761905670166;9.909761905670166;0.0;37.45396825396825
7;pytorch2;bank;(32, 155, 2);32;train;cpu;11.972737789154053;11.972737789154053;0.0;32.74285714285715
8;pytorch2;bank;(32, 155, 2);32;train;cpu;11.00432276725769;11.00432276725769;0.0;34.666666666666664
9;pytorch2;bank;(32, 155, 2);32;train;cpu;2.522979259490967;2.522979259490967;0.0;48.35
