;Framework;Dataset;Input size;Batch size;Mode;Device;Time_mean;Time_min;Time_std;Memory
0;pytorch2;bank;(32, 155, 2);32;train;cpu;11.051522755622864;10.9029061794281;0.0861658758570036;30.300793650793658
1;pytorch2;bank;(64, 155, 2);64;train;cpu;7.956288194656372;7.871158123016357;0.0728151599537776;40.0740625
2;pytorch2;bank;(128, 155, 2);128;train;cpu;3.718636322021484;3.648331880569458;0.0694010620197786;71.42124999999996
3;pytorch2;moia;(32, 36, 2);32;train;cpu;7.625520157814026;7.434638023376465;0.2681086917274111;11.709074074074072
4;pytorch2;moia;(64, 36, 2);64;train;cpu;5.439817762374878;5.320106029510498;0.0624910881941394;16.778888888888883
5;pytorch2;moia;(128, 36, 2);128;train;cpu;4.197890973091125;4.120735168457031;0.05465288169473;32.39609756097563
6;pytorch2;cdnow;(32, 37, 2);32;train;cpu;32.83325896263123;32.26774215698242;0.3599469860554822;11.182805429864244
7;pytorch2;cdnow;(64, 37, 2);64;train;cpu;23.93152985572815;23.58212184906006;0.3195448847165252;17.292680722891568
8;pytorch2;cdnow;(128, 37, 2);128;train;cpu;18.0267522096634;17.622895002365112;0.2600023399924422;30.399638554216825
9;pytorch2;grocery;(32, 56, 2);32;train;cpu;2.9447205543518065;2.903536796569824;0.0275913665252585;15.126744186046512
10;pytorch2;grocery;(64, 56, 2);64;train;cpu;2.144676423072815;2.1039071083068848;0.0311204437100953;23.8940909090909
11;pytorch2;grocery;(128, 56, 2);128;train;cpu;1.5913261413574218;1.515326976776123;0.0310808463736178;41.69272727272727
12;pytorch2;retail;(32, 51, 2);32;train;cpu;14.184216690063476;13.781143188476562;0.2904343589210958;23.557916666666664
13;pytorch2;retail;(64, 51, 2);64;train;cpu;10.101002216339111;9.915597200393677;0.1740945248704465;31.949404761904766
14;pytorch2;retail;(128, 51, 2);128;train;cpu;7.599431014060974;7.300718069076538;0.2351937645399724;49.290952380952376
15;pytorch1;bank;(32, 155, 2);32;train;cpu;6.885381960868836;6.868805170059204;0.0306861865030718;7.620000000000003
16;pytorch1;bank;(64, 155, 2);64;train;cpu;5.853741669654847;5.835263967514038;0.0236284961078812;10.106875000000011
17;pytorch1;bank;(128, 155, 2);128;train;cpu;5.561882710456848;5.543181657791138;0.0393210035080335;12.264999999999995
18;pytorch1;moia;(32, 36, 2);32;train;cpu;4.055976247787475;4.0447752475738525;0.0137463199508015;1.709814814814815
19;pytorch1;moia;(64, 36, 2);64;train;cpu;3.572255706787109;3.5638551712036133;0.0131355384251632;3.4307407407407435
20;pytorch1;moia;(128, 36, 2);128;train;cpu;3.1815889358520506;3.170032024383545;0.0183383643696977;5.960243902439025
21;pytorch1;cdnow;(32, 37, 2);32;train;cpu;17.688971185684203;17.674516201019287;0.0173167546141041;1.9424434389140284
22;pytorch1;cdnow;(64, 37, 2);64;train;cpu;15.254484701156615;15.238025188446043;0.0182183553231971;3.3136144578313207
23;pytorch1;cdnow;(128, 37, 2);128;train;cpu;14.020504713058472;13.991283178329468;0.0279760959342012;5.803493975903617
24;pytorch1;grocery;(32, 56, 2);32;train;cpu;1.675227427482605;1.6670830249786377;0.0116524369466566;3.239534883720929
25;pytorch1;grocery;(64, 56, 2);64;train;cpu;1.4377299785614013;1.429603099822998;0.0134032056831648;4.740454545454543
26;pytorch1;grocery;(128, 56, 2);128;train;cpu;1.3627223014831542;1.3527653217315674;0.0144034757467855;7.56727272727273
27;pytorch1;retail;(32, 51, 2);32;train;cpu;13.556468486785889;13.437851905822754;0.1775002880765956;7.6057738095238
44;pytorch1;retail;(64, 51, 2);64;train;cpu;12.793516778945923;12.756463050842283;0.0652915493881938;9.429523809523806
28;pytorch1;retail;(128, 51, 2);128;train;cpu;12.176096534729004;12.150840044021606;0.0469917423900113;10.912857142857147
30;tf2;bank;(128, 155, 2);32;train;cpu;11.274552726745606;11.178842782974243;0.0874774404178181;4.720000000000001
31;tf2;bank;(128, 155, 2);64;train;cpu;7.9691300868988035;7.899671077728271;0.0831503293009252;3.95
32;tf2;bank;(128, 155, 2);128;train;cpu;6.469942355155945;6.426774024963379;0.0502736458054089;4.470000000000001
33;tf2;moia;(128, 155, 2);32;train;cpu;5.351363229751587;5.297781944274902;0.0499362972469681;4.300000000000001
34;tf2;moia;(128, 155, 2);64;train;cpu;4.182472014427185;4.146568059921265;0.052185990392887;3.92
35;tf2;moia;(128, 155, 2);128;train;cpu;3.5593628883361816;3.5139551162719727;0.0551756787450806;4.369999999999999
36;tf2;cdnow;(128, 155, 2);32;train;cpu;14.13748722076416;14.08000373840332;0.0746716234420641;4.279999999999999
37;tf2;cdnow;(128, 155, 2);64;train;cpu;10.038722944259645;9.978194952011108;0.0769953068229054;4.289999999999999
38;tf2;cdnow;(128, 155, 2);128;train;cpu;8.030099892616272;7.968853712081909;0.0704570742344738;4.04
39;tf2;grocery;(128, 155, 2);32;train;cpu;2.926080060005188;2.871433019638061;0.0461284969785837;3.89
40;tf2;grocery;(128, 155, 2);64;train;cpu;2.5394932508468626;2.4786648750305176;0.0529328367247028;4.0200000000000005
41;tf2;grocery;(128, 155, 2);128;train;cpu;2.3350433588027952;2.2800509929656982;0.0503035590327109;4.159999999999999
42;tf2;retail;(128, 155, 2);32;train;cpu;7.022028613090515;6.973479270935059;0.0596002968584254;3.81
43;tf2;retail;(128, 155, 2);64;train;cpu;5.514913010597229;5.471580028533936;0.0537260941912589;4.800000000000001
44;tf2;retail;(128, 155, 2);128;train;cpu;4.812761163711548;4.763698101043701;0.0524212827267003;3.94
45;pytorch2;grocery;(64, 56, 2);64;train;mps;3.791184902191162;3.791184902191162;0.0;5.054545454545455
